,Prediced,TRUE,Error,
0,143.452652,140.09,3.362651978,2.344084917
1,97.0217514,99.52,2.498248596,2.57493661
2,48.08787537,50.16,2.072124634,4.309037607
3,13.95474815,13.36,0.594748154,4.261976978
4,211.0366211,191.84,19.19662109,9.09634593
5,74.22367859,84.53,10.30632141,13.88548992
6,24.31313515,30.09,5.776864853,23.76026299
7,165.8674164,120.081,45.78641638,27.60422594
8,60.25660324,63.28,3.023396759,5.017535998
9,39.37740707,41.33,1.952592926,4.958663028
10,52.63871384,60.19,7.551286163,14.34549899
11,23.52363205,25.72,2.19636795,9.336857275
12,127.0728836,140.09,13.01711639,10.24381916
13,87.15513611,70.02,17.13513611,19.66050066
14,46.93694687,45.08,1.856946869,3.956258327
15,35.21392441,33.63,1.583924408,4.49800593
16,64.53875732,63.28,1.258757324,1.950389776
17,154.8009796,138.715,16.08597961,10.39139394
18,117.0704193,110.15,6.920419312,5.911330422
19,70.15486908,69.39,0.76486908,1.09025801
20,64.51888275,60.27,4.248882751,6.585487179
21,36.88128281,36.12,0.761282806,2.064144055
22,51.24214935,45.87,5.372149353,10.48384859
23,19.67589951,20.73,1.054100494,5.357317942
24,41.02518082,39.52,1.505180817,3.668919397
25,58.38021088,56.24,2.140210876,3.665986889
26,192.8475189,237.77,44.92248108,23.29430077
27,115.9724503,120.365,4.392549744,3.787580355
28,35.32941055,36.26,0.930589447,2.634036154
29,103.5700836,100.11,3.460083618,3.340813773
30,59.30805969,67.66,8.351940308,14.08230239
31,190.7797546,214.11,23.33024536,12.22888949
32,25.97674561,25.16,0.816745605,3.144141371
33,159.8014679,155.44,4.361467896,2.729304025
34,40.60186768,38.47,2.131867676,5.250664065
35,59.22602463,55,4.226024628,7.135418347
36,76.01715851,72.56,3.457158508,4.547866003
,,,7.524425702,7.924267384
