,CO,T,CS,FS
72,30,600,0.025,109.567
183,15,900,0.0,155.44
130,45,300,0.6,41.1
78,30,900,0.05,75.77
60,0,0,0.8,20.55
51,0,600,0.6,27.25
123,45,600,0.3,48.32
82,30,600,0.2,49.82
17,0,1200,0.05,67.63
126,45,300,0.4,49.58
35,0,1200,0.3,35.88
135,60,600,0.025,129.45
158,60,300,0.5,66.78
10,0,900,0.025,98.65
32,0,300,0.3,46.22
142,60,300,0.1,94.82
140,60,1200,0.05,94.87
133,60,0,0.025,156.183
128,45,1200,0.4,37.82
139,60,600,0.05,108.767
151,60,600,0.3,68.22
14,0,300,0.05,85.95
111,45,600,0.05,94.46
112,45,1200,0.05,84.25
161,30,0,0.0,191.84
121,45,0,0.3,54.3
118,45,300,0.2,59.47
145,60,0,0.2,83.21
129,45,0,0.6,46.09
117,45,0,0.2,66.72
85,30,0,0.3,54.84
83,30,900,0.2,46.43
6,0,0,0.025,163.84
38,0,300,0.4,41.13
16,0,900,0.05,74.38
48,0,0,0.6,34.2
109,45,0,0.05,109.26
165,30,900,0.0,155.44
141,60,0,0.1,103.91
138,60,300,0.05,109.83
131,45,600,0.6,40.21
108,45,1200,0.025,104.187
182,15,600,0.0,214.11
26,0,300,0.2,54.14
171,45,900,0.0,155.44
31,0,100,0.3,47.2
95,30,0,0.5,42.62
156,60,1200,0.4,58.18
73,30,900,0.025,102.686
110,45,300,0.05,103.06
91,30,300,0.4,44.08
120,45,1200,0.2,48.4
15,0,600,0.05,80.83
46,0,900,0.5,33.08
49,0,100,0.6,31.86
149,60,0,0.3,76.01
70,30,0,0.025,152.28
77,30,600,0.05,85.41
160,60,1200,0.5,56.84
63,0,600,0.8,15.31
93,30,900,0.4,38.11
164,30,600,0.0,214.11
37,0,100,0.4,44.37
184,15,1200,0.0,140.09
19,0,100,0.1,67.78
56,0,300,0.7,23.09
27,0,600,0.2,55.62
47,0,1200,0.5,27.69
124,45,1200,0.3,43.25
66,0,70,0.86,13.81
87,30,600,0.3,44.92
175,60,300,0.0,225.27
144,60,1200,0.1,76.63
88,30,900,0.3,42.07
148,60,1200,0.2,67.1
114,45,300,0.1,75.56
13,0,100,0.05,89.32
89,30,1200,0.3,40.64
34,0,900,0.3,40.53
43,0,100,0.5,43.03
12,0,0,0.05,106.1
50,0,300,0.6,29.73
22,0,900,0.1,55.31
99,30,1200,0.5,29.65
107,45,600,0.025,125.41
76,30,300,0.05,87.71
67,0,220,0.72,22.99
23,0,1200,0.1,50.61
0,0,0,0.0,191.84
55,0,100,0.7,24.79
7,0,100,0.025,122.99
170,45,600,0.0,214.11
105,45,0,0.025,163.337
113,45,0,0.1,85.43
40,0,900,0.4,36.28
150,60,300,0.3,69.51
132,45,1200,0.6,35.64
92,30,600,0.4,40.17
155,60,600,0.4,60.04
53,0,1200,0.6,23.4
2,0,300,0.0,225.27
80,30,0,0.2,60.8
177,60,900,0.0,155.44
41,0,1200,0.4,32.27
62,0,300,0.8,15.59
168,45,100,0.0,237.77
28,0,900,0.2,47.1
101,30,300,0.8,22.76
45,0,600,0.5,32.58
166,30,1200,0.0,140.09
162,30,100,0.0,237.77
59,0,1200,0.7,17.79
174,60,100,0.0,237.77
36,0,0,0.4,48.06
61,0,100,0.8,17.67
122,45,300,0.3,51.78
102,30,600,0.8,21.59
115,45,600,0.1,70.31
176,60,600,0.0,214.11
68,0,510,0.33,50.87
152,60,1200,0.3,61.61
90,30,0,0.4,47.9
134,60,300,0.025,138.219
163,30,300,0.0,225.27
137,60,0,0.05,122.42
42,0,0,0.5,41.2
58,0,900,0.7,19.36
81,30,300,0.2,51.2
11,0,1200,0.025,94.33
181,15,300,0.0,225.27
33,0,600,0.3,41.65
167,45,0,0.0,191.84
179,15,0,0.0,191.84
154,60,300,0.4,64.25
157,60,0,0.5,83.17
96,30,300,0.5,39.49
169,45,300,0.0,225.27
104,30,1200,0.8,19.17
180,15,100,0.0,237.77
116,45,1200,0.1,59.61
153,60,0,0.4,96.98
24,0,0,0.2,65.46
57,0,600,0.7,21.19
8,0,300,0.025,116.9
178,60,1200,0.0,140.09
65,0,1200,0.8,12.65
94,30,1200,0.4,35.87
143,60,600,0.1,86.31
