,Prediced,TRUE,Error
0,56.68277359,55.46,1.22277359
1,153.8957977,144.424,9.471797729
2,75.31279755,77.107,1.794202454
3,21.19048309,20.85,0.340483093
4,27.55533218,26.21,1.345332184
5,115.2210388,105.399,9.822038818
6,281.6636963,282.32,0.656303711
7,37.95822525,34.2,3.75822525
8,32.88114166,30.39,2.491141663
9,38.44406891,40.13,1.685931091
10,26.51724815,28.65,2.132751846
11,211.5549622,235.45,23.89503784
12,87.01123047,97.33,10.31876953
13,52.61323166,52.59,0.023231659
14,276.3631287,301.94,25.57687134
15,235.0791016,235.45,0.370898437
16,48.17476273,47.51,0.664762726
17,99.74510193,95.193,4.552101929
18,49.19725037,47.75,1.447250366
19,129.9008484,124.55,5.350848389
20,57.75323486,56.8,0.953234863
21,31.16845512,28.89,2.278455124
22,48.89514923,54.97,6.074850769
23,60.57989883,68.67,8.090101166
24,181.2841492,194.43,13.14585083
25,110.5997009,86.53,24.06970093
26,140.7244568,120.082,20.64245679
27,197.0012512,194.43,2.571251221
,,,6.598094833
