,Prediced,TRUE,Error
0,57.41882324,55.46,1.958823242
1,148.0701752,144.424,3.646175171
2,72.41215515,77.107,4.694844849
3,21.69515991,20.85,0.845159912
4,24.94647217,26.21,1.263527832
5,101.0637894,105.399,4.335210632
6,290.3862,282.32,8.066199951
7,36.04563904,34.2,1.845639038
8,30.57658768,30.39,0.186587677
9,43.99785233,40.13,3.867852325
10,26.67670631,28.65,1.973293686
11,240.697876,235.45,5.247875977
12,86.14648438,97.33,11.18351562
13,53.76509857,52.59,1.175098572
14,318.1053162,301.94,16.16531616
15,237.6054535,235.45,2.155453491
16,48.58734131,47.51,1.077341309
17,99.10914612,95.193,3.916146118
18,47.86859131,47.75,0.118591309
19,116.1381989,124.55,8.411801147
20,56.66238022,56.8,0.137619781
21,29.60162354,28.89,0.711623535
22,55.54805374,54.97,0.578053741
23,67.4230957,68.67,1.246904297
24,188.9147644,194.43,5.515235596
25,111.947731,86.53,25.41773102
26,141.1056061,120.082,21.02360608
27,192.133728,194.43,2.296271973
,,,4.966482144
