,CO,T,CS,FS,FT
0,0.0,0.0,0.0,0.9277329420396183,240.68
1,0.0,0.08333333333333334,0.0,0.9999999999999998,258.41
3,0.0,0.25,0.0,0.9923371647509576,256.53
6,0.0,0.5,0.0,0.9491725768321511,245.94
9,0.0,0.75,0.0,0.8164180321186922,213.37
12,0.0,1.0,0.0,0.6763674900138581,179.01
13,0.0,0.0,0.03125,0.45063585228662256,123.629177
14,0.0,0.08333333333333334,0.03125,0.4085310181788538,113.299148
15,0.0,0.16666666666666669,0.03125,0.4113882774924594,114.0
16,0.0,0.25,0.03125,0.39815765875927284,110.754152
17,0.0,0.33333333333333337,0.03125,0.3828564441183663,107.0
18,0.0,0.4166666666666667,0.03125,0.37062851552946924,104.0
19,0.0,0.5,0.03125,0.3654927855221325,102.740033
20,0.0,0.5833333333333334,0.03125,0.3522866226461237,99.5
21,0.0,0.6666666666666667,0.03125,0.3437270726338958,97.4
22,0.0,0.75,0.03125,0.3353142577647346,95.336437
23,0.0,0.8333333333333334,0.03125,0.32946115594684927,93.9
24,0.0,0.9166666666666667,0.03125,0.3241623868916605,92.6
25,0.0,1.0,0.03125,0.31908779652726826,91.355429
26,0.0,0.0,0.0625,0.36251732289883426,102.011621
27,0.0,0.08333333333333334,0.0625,0.2937556044672699,85.142399
28,0.0,0.16666666666666669,0.0625,0.2825874296894106,82.4
29,0.0,0.25,0.0625,0.28560365207467187,83.144652
30,0.0,0.33333333333333337,0.0625,0.27158229395940325,79.7
31,0.0,0.4166666666666667,0.0625,0.27035950110051354,79.4
32,0.0,0.5,0.0625,0.2593136056085432,76.686821
33,0.0,0.5833333333333334,0.0625,0.2581315725116165,76.4
34,0.0,0.6666666666666667,0.0625,0.24549604630308955,73.3
35,0.0,0.75,0.0625,0.23445015081111922,70.594369
36,0.0,0.8333333333333334,0.0625,0.22063259150566558,67.2
37,0.0,0.9166666666666667,0.0625,0.22030651340996163,67.119
38,0.0,1.0,0.0625,0.23893372462704812,71.689979
39,0.0,0.0,0.125,0.2651014918072878,78.11
40,0.0,0.08333333333333334,0.125,0.2076709872014347,64.02
42,0.0,0.25,0.125,0.20339121219532072,62.97
45,0.0,0.5,0.125,0.18802478193527347,59.2
48,0.0,0.75,0.125,0.16898997309855707,54.53
51,0.0,1.0,0.125,0.16043042308632913,52.43
52,0.0,0.0,0.25,0.19189695932175752,60.15
53,0.0,0.08333333333333334,0.25,0.16996820738566884,54.77
55,0.0,0.25,0.25,0.1601451047525882,52.36
58,0.0,0.5,0.25,0.15309366593299092,50.63
61,0.0,0.75,0.25,0.13055351756745737,45.1
64,0.0,1.0,0.25,0.12093421374419172,42.74
65,0.0,0.0,0.375,0.14706122116246836,49.15
66,0.0,0.08333333333333334,0.375,0.14131409472568676,47.74
68,0.0,0.25,0.375,0.13234694709382894,45.54
71,0.0,0.5,0.375,0.12150485041167358,42.88
74,0.0,0.75,0.375,0.11335289801907555,40.88
77,0.0,1.0,0.375,0.09766038966332435,37.03
78,0.0,0.0,0.5,0.12729273661041815,44.3
79,0.0,0.08333333333333334,0.5,0.12252384446074832,43.13
81,0.0,0.25,0.5,0.11730659492948559,41.85
84,0.0,0.5,0.5,0.10475258824488462,38.77
87,0.0,0.75,0.5,0.09350289394309932,36.01
90,0.0,1.0,0.5,0.0829868753566479,33.43
91,0.0,0.0,0.625,0.10173636585962337,38.03
92,0.0,0.08333333333333334,0.625,0.09802722752099124,37.12
94,0.0,0.25,0.625,0.09741583109154639,36.97
97,0.0,0.5,0.625,0.08266079726094397,33.35
100,0.0,0.75,0.625,0.07711746963397731,31.99
103,0.0,1.0,0.625,0.06260699437515282,28.43
104,0.0,0.0,0.75,0.07675063177631039,31.9
105,0.0,0.08333333333333334,0.75,0.07084046629167684,30.45
107,0.0,0.25,0.75,0.06497106056900626,29.01
110,0.0,0.5,0.75,0.061832558897856015,28.24
113,0.0,0.75,0.75,0.05111274150158961,25.61
116,0.0,1.0,0.75,0.03949620934213744,22.76
117,0.0,0.0,0.875,0.05143881959729354,25.69
118,0.0,0.08333333333333334,0.875,0.042960789108991586,23.61
120,0.0,0.25,0.875,0.043205347680769536,23.67
123,0.0,0.5,0.875,0.03240401076057715,21.02
126,0.0,0.75,0.875,0.028735632183908046,20.12
129,0.0,1.0,0.875,0.02135811526860682,18.31
130,0.0,0.0,1.0,0.025678650036683785,19.37
131,0.0,0.08333333333333334,1.0,0.015692508355751207,16.92
133,0.0,0.25,1.0,0.013043123828156832,16.27
136,0.0,0.5,1.0,0.00892638786989483,15.26
139,0.0,0.75,1.0,0.004646612863780875,14.21
142,0.0,1.0,1.0,0.0,13.07
156,0.4,0.0,0.03125,0.5031792614331131,136.5199527
157,0.4,0.08333333333333334,0.03125,0.4356892475747941,119.9622
158,0.4,0.16666666666666669,0.03125,0.44807206325915055,123.0
159,0.4,0.25,0.03125,0.4269462786337327,117.817
160,0.4,0.33333333333333337,0.03125,0.4195402298850574,116.0
161,0.4,0.4166666666666667,0.03125,0.40731230129616036,113.0
162,0.4,0.5,0.03125,0.3956509333985489,110.139
163,0.4,0.5833333333333334,0.03125,0.3828564441183663,107.0
