d1,d2,d3,SEA
6,25,50,37696.74
6,25,52.5,37513.61
6,25,55,37306.78
6,25,57.5,37153.34
6,25,60,36990.46
6,27.5,50,37234.88
6,27.5,52.5,37043.6
6,27.5,55,36796.25
6,27.5,57.5,36720.96
6,27.5,60,36583.7
6,30,50,36611.54
6,30,52.5,36411.29
6,30,55,36268.24
6,30,57.5,36111
6,30,60,35963.14
6,32.5,50,35926.04
6,32.5,52.5,35916.59
6,32.5,55,35761.5
6,32.5,57.5,35611.2
6,32.5,60,35460.47
6,35,50,35473.75
6,35,52.5,35353.2
6,35,55,35209.47
6,35,57.5,35012.66
6,35,60,34863.69
7,25,50,35816.59
7,25,52.5,35635.83
7,25,55,35332.52
7,25,57.5,35278.58
7,25,60,35078.7
7,27.5,50,35442.84
7,27.5,52.5,35286.18
7,27.5,55,35142.62
7,27.5,57.5,34936.09
7,27.5,60,34793.93
7,30,50,34848.98
7,30,52.5,34672.39
7,30,55,34503.77
7,30,57.5,34321.69
7,30,60,34165.91
7,32.5,50,34358.62
7,32.5,52.5,34187.39
7,32.5,55,34030.86
7,32.5,57.5,33861.92
7,32.5,60,33631.92
7,35,50,33901.71
7,35,52.5,33752.74
7,35,55,33576.77
7,35,57.5,33335.66
7,35,60,33178.84
8,25,50,34070.99
8,25,52.5,33979.9
8,25,55,33743.76
8,25,57.5,33596.03
8,25,60,33458.37
8,27.5,50,33654.87
8,27.5,52.5,33497.15
8,27.5,55,33364.39
8,27.5,57.5,33184.14
8,27.5,60,33051.57
8,30,50,33114.89
8,30,52.5,32956.83
8,30,55,32822.14
8,30,57.5,32700
8,30,60,32542.34
8,32.5,50,32682.97
8,32.5,52.5,32525.91
8,32.5,55,32386.04
8,32.5,57.5,32220.9
8,32.5,60,32117.89
8,35,50,
8,35,52.5,32114.07
8,35,55,31925.43
8,35,57.5,31801.8
8,35,60,31695.79
9,25,50,32535.65
9,25,52.5,32263.8
9,25,55,32283.29
9,25,57.5,32154.49
9,25,60,32036.02
9,27.5,50,32073.65
9,27.5,52.5,31942.58
9,27.5,55,31833.33
9,27.5,57.5,31720.81
9,27.5,60,31595.58
9,30,50,31655.27
9,30,52.5,31555.32
9,30,55,31461.57
9,30,57.5,31325.24
9,30,60,31228.09
9,32.5,50,
9,32.5,52.5,31145.96
9,32.5,55,31014.72
9,32.5,57.5,30925.29
9,32.5,60,30842.97
9,35,50,
9,35,52.5,
9,35,55,30611.2
9,35,57.5,30526.2
9,35,60,30435.97
10,25,50,31207.99
10,25,52.5,31113.77
10,25,55,31011.57
10,25,57.5,30759
10,25,60,30802.55
10,27.5,50,30794.17
10,27.5,52.5,30730.15
10,27.5,55,30617.03
10,27.5,57.5,30535.35
10,27.5,60,30401.21
10,30,50,30389.68
10,30,52.5,30309.71
10,30,55,30067.75
10,30,57.5,30115.57
10,30,60,30026.81
10,32.5,50,
10,32.5,52.5,29883.04
10,32.5,55,29802.96
10,32.5,57.5,29734.55
10,32.5,60,29649.78
10,35,50,
10,35,52.5,
10,35,55,29463.04
10,35,57.5,29376.6
10,35,60,29305.64
