LO,CO,T,CS,FS
0,0,0,0,240.68
0,0,100,0,258.41
0,0,300,0,256.53
0,0,600,0,245.94
0,0,900,0,213.37
0,0,1200,0,179.01
0,0,0,0.025,123.629
0,0,100,0.025,113.299
0,0,300,0.025,110.754
0,0,600,0.025,102.74
0,0,900,0.025,95.336
0,0,1200,0.025,91.355
0,0,0,0.05,102.01
0,0,100,0.05,85.14
0,0,300,0.05,83.14
0,0,600,0.05,76.69
0,0,900,0.05,70.59
0,0,1200,0.05,71.69
0,0,0,0.1,78.11
0,0,100,0.1,64.02
0,0,300,0.1,62.97
0,0,600,0.1,59.2
0,0,900,0.1,54.53
0,0,1200,0.1,52.43
0,0,0,0.2,60.15
0,0,100,0.2,54.77
0,0,300,0.2,52.36
0,0,600,0.2,50.63
0,0,900,0.2,45.1
0,0,1200,0.2,42.74
0,0,0,0.3,49.15
0,0,100,0.3,47.74
0,0,300,0.3,45.54
0,0,600,0.3,42.88
0,0,900,0.3,40.88
0,0,1200,0.3,37.03
0,0,0,0.4,44.3
0,0,100,0.4,43.13
0,0,300,0.4,41.85
0,0,600,0.4,38.77
0,0,900,0.4,36.01
0,0,1200,0.4,33.43
0,0,0,0.5,38.03
0,0,100,0.5,37.12
0,0,300,0.5,36.97
0,0,600,0.5,33.35
0,0,900,0.5,31.99
0,0,1200,0.5,28.43
0,0,0,0.6,31.9
0,0,100,0.6,30.45
0,0,300,0.6,29.01
0,0,600,0.6,28.24
0,0,900,0.6,25.61
0,0,1200,0.6,22.76
0,0,0,0.7,25.69
0,0,100,0.7,23.61
0,0,300,0.7,23.67
0,0,600,0.7,21.02
0,0,900,0.7,20.12
0,0,1200,0.7,18.31
0,0,0,0.8,19.37
0,0,100,0.8,16.92
0,0,300,0.8,16.27
0,0,600,0.8,15.26
0,0,900,0.8,14.21
0,0,1200,0.8,13.07
0,30,0,0,240.68
0,30,100,0,258.41
0,30,300,0,256.53
0,30,600,0,245.94
0,30,900,0,213.37
0,30,1200,0,179.01
0,30,0,0.025,136.52
0,30,100,0.025,119.962
0,30,300,0.025,117.817
0,30,600,0.025,110.139
0,30,900,0.025,106.158
0,30,1200,0.025,95.538
0,30,0,0.05,98.68
0,30,100,0.05,92.82
0,30,300,0.05,89.58
0,30,600,0.05,84.86
0,30,900,0.05,80.06
0,30,1200,0.05,79.71
0,30,0,0.1,77.55
0,30,100,0.1,68.72
0,30,300,0.1,64.86
0,30,600,0.1,62.03
0,30,900,0.1,57.76
0,30,1200,0.1,52.54
0,30,0,0.2,62.16
0,30,100,0.2,57.85
0,30,300,0.2,54.7
0,30,600,0.2,49.67
0,30,900,0.2,45.22
0,30,1200,0.2,42.13
0,30,0,0.3,53.89
0,30,100,0.3,51.49
0,30,300,0.3,50.34
0,30,600,0.3,45.84
0,30,900,0.3,44.52
0,30,1200,0.3,39.68
0,30,0,0.4,48.49
0,30,100,0.4,46.61
0,30,300,0.4,45.35
0,30,600,0.4,40.64
0,30,900,0.4,35.75
0,30,1200,0.4,34.44
0,30,0,0.5,41.78
0,30,100,0.5,41.25
0,30,300,0.5,39.84
0,30,600,0.5,36.39
0,30,900,0.5,34.48
0,30,1200,0.5,33.48
0,30,0,0.6,37.04
0,30,100,0.6,36.8
0,30,300,0.6,33.75
0,30,600,0.6,32.53
0,30,900,0.6,28.01
0,30,1200,0.6,27.9
0,30,0,0.7,31.46
0,30,100,0.7,31.29
0,30,300,0.7,28.94
0,30,600,0.7,26.2
0,30,900,0.7,24.68
0,30,1200,0.7,22.33
0,30,0,0.8,25.41
0,30,100,0.8,23.65
0,30,300,0.8,24.2
0,30,600,0.8,21.59
0,30,900,0.8,21.57
0,30,1200,0.8,19.62
0,45,0,0,240.68
0,45,100,0,258.41
0,45,300,0,256.53
0,45,600,0,245.94
0,45,750,0,232.5
0,45,900,0,213.37
0,45,1050,0,207.62
0,45,1200,0,179.01
0,45,0,0.025,122.667
0,45,100,0.025,121.668
0,45,300,0.025,118.955
0,45,600,0.025,112.894
0,45,900,0.025,107
0,45,1200,0.025,100.749
0,45,0,0.05,104.15
0,45,100,0.05,101.47
0,45,300,0.05,97.74
0,45,600,0.05,94.06
0,45,900,0.05,86.92
0,45,1200,0.05,80.82639204
0,45,0,0.1,79.52
0,45,100,0.1,71.59
0,45,200,0.1,70.9
0,45,300,0.1,69.61
0,45,400,0.1,66.65
0,45,500,0.1,66.75
0,45,600,0.1,66.15
0,45,750,0.1,65
0,45,900,0.1,62.09
0,45,1050,0.1,57.9
0,45,1200,0.1,58.38
0,45,0,0.2,66.79
0,45,100,0.2,60.08
0,45,200,0.2,59.86
0,45,300,0.2,57.86
0,45,400,0.2,58.88
0,45,500,0.2,55.52
0,45,600,0.2,55.25
0,45,750,0.2,53.55
0,45,900,0.2,51.04
0,45,1050,0.2,50.61
0,45,1200,0.2,47.28
0,45,0,0.3,60.03
0,45,100,0.3,56.2
0,45,200,0.3,54.74
0,45,300,0.3,53.67
0,45,400,0.3,51.89
0,45,500,0.3,50.69
0,45,600,0.3,50.61
0,45,750,0.3,49.2
0,45,900,0.3,45.99
0,45,1050,0.3,44.55
0,45,1200,0.3,39.94
0,45,0,0.4,52.25
0,45,100,0.4,50.05
0,45,200,0.4,48.83
0,45,300,0.4,47.02
0,45,400,0.4,48.39
0,45,500,0.4,45.12
0,45,600,0.4,46.32
0,45,750,0.4,42.42
0,45,900,0.4,43.44
0,45,1050,0.4,42.74
0,45,1200,0.4,38.43
0,45,0,0.5,48.3
0,45,100,0.5,50.74
0,45,200,0.5,47.66
0,45,300,0.5,47.45
0,45,400,0.5,48.04
0,45,500,0.5,44.96
0,45,600,0.5,44.51
0,45,750,0.5,44.73
0,45,900,0.5,42.63
0,45,1050,0.5,40.94
0,45,1200,0.5,39.59
0,45,0,0.6,48.03
0,45,100,0.6,45.34
0,45,200,0.6,43.81
0,45,300,0.6,43.36
0,45,400,0.6,40.09
0,45,500,0.6,41.68
0,45,600,0.6,40.34
0,45,750,0.6,37.01
0,45,900,0.6,38.2
0,45,1050,0.6,35.05
0,45,1200,0.6,34.47
0,60,0,0,240.68
0,60,100,0,258.41
0,60,300,0,256.53
0,60,600,0,245.94
0,60,750,0,232.5
0,60,900,0,213.37
