CO,T,CS,FS
0,0,0,191.84
0,100,0,237.77
0,300,0,225.27
0,600,0,214.11
0,900,0,155.44
0,1200,0,140.09
0,0,0.025,163.84
0,100,0.025,122.99
0,200,0.025,
0,300,0.025,116.9
0,400,0.025,
0,500,0.025,
0,600,0.025,110.15
0,700,0.025,
0,800,0.025,
0,900,0.025,98.65
0,1000,0.025,
0,1100,0.025,
0,1200,0.025,94.33
0,0,0.05,106.1
0,100,0.05,89.32
0,200,0.05,
0,300,0.05,85.95
0,400,0.05,
0,500,0.05,
0,600,0.05,80.83
0,700,0.05,
0,800,0.05,
0,900,0.05,74.38
0,1000,0.05,
0,1100,0.05,
0,1200,0.05,67.63
0,0,0.1,84.53
0,100,0.1,67.78
0,200,0.1,
0,300,0.1,63.28
0,400,0.1,
0,500,0.1,
0,600,0.1,60.27
0,700,0.1,
0,800,0.1,
0,900,0.1,55.31
0,1000,0.1,
0,1100,0.1,
0,1200,0.1,50.61
0,0,0.2,65.46
0,100,0.2,67.66
0,200,0.2,
0,300,0.2,54.14
0,400,0.2,
0,500,0.2,
0,600,0.2,55.62
0,700,0.2,
0,800,0.2,
0,900,0.2,47.1
0,1000,0.2,
0,1100,0.2,
0,1200,0.2,41.33
0,0,0.3,60.19
0,100,0.3,47.2
0,200,0.3,
0,300,0.3,46.22
0,400,0.3,
0,500,0.3,
0,600,0.3,41.65
0,700,0.3,
0,800,0.3,
0,900,0.3,40.53
0,1000,0.3,
0,1100,0.3,
0,1200,0.3,35.88
0,0,0.4,48.06
0,100,0.4,44.37
0,200,0.4,
0,300,0.4,41.13
0,400,0.4,
0,500,0.4,
0,600,0.4,38.47
0,700,0.4,
0,800,0.4,
0,900,0.4,36.28
0,1000,0.4,
0,1100,0.4,
0,1200,0.4,32.27
0,0,0.5,41.2
0,100,0.5,43.03
0,200,0.5,
0,300,0.5,36.26
0,400,0.5,
0,500,0.5,
0,600,0.5,32.58
0,700,0.5,
0,800,0.5,
0,900,0.5,33.08
0,1000,0.5,
0,1100,0.5,
0,1200,0.5,27.69
0,0,0.6,34.2
0,100,0.6,31.86
0,200,0.6,
0,300,0.6,29.73
0,400,0.6,
0,500,0.6,
0,600,0.6,27.25
0,700,0.6,
0,800,0.6,
0,900,0.6,25.16
0,1000,0.6,
0,1100,0.6,
0,1200,0.6,23.4
0,0,0.7,30.09
0,100,0.7,24.79
0,200,0.7,
0,300,0.7,23.09
0,400,0.7,
0,500,0.7,
0,600,0.7,21.19
0,700,0.7,
0,800,0.7,
0,900,0.7,19.36
0,1000,0.7,
0,1100,0.7,
0,1200,0.7,17.79
0,0,0.8,20.55
0,100,0.8,17.67
0,200,0.8,
0,300,0.8,15.59
0,400,0.8,
0,500,0.8,
0,600,0.8,15.31
0,700,0.8,
0,800,0.8,
0,900,0.8,13.36
0,1000,0.8,
0,1100,0.8,
0,1200,0.8,12.65
0,70,0.86,13.81
0,220,0.72,22.99
0,510,0.33,50.87
0,840,0.25,45.08
