,LO,CO,T,CS,FS
409,0.4633333333333333,0.0,1.0,0.930232558139535,0.0
457,0.4633333333333333,0.75,0.0,0.11627906976744187,0.2393685249136655
45,0.0,0.0,0.5,0.5813953488372093,0.06808090774543661
252,0.0,1.0,1.0,0.23255813953488375,0.14109521460286134
359,0.4633333333333333,0.0,0.08333333333333334,0.5813953488372093,0.09991777668146685
437,0.4633333333333333,0.5,0.75,0.4651162790697675,0.08373622759414569
440,0.4633333333333333,0.5,0.25,0.5813953488372093,0.0882749547771748
264,0.0,1.0,0.625,0.4651162790697675,0.15408649893109683
253,0.0,1.0,0.0,0.3488372093023256,0.20480184180233513
447,0.4633333333333333,0.5,0.75,0.930232558139535,0.02657457654990955
483,0.4633333333333333,1.0,0.5,0.058139534883720936,0.31612234829797725
27,0.0,0.0,0.5,0.23255813953488375,0.12491366551554021
453,0.4633333333333333,0.75,0.0,0.058139534883720936,0.31774379213945075
776,1.0,1.0,0.5,0.0,0.732774214767308
466,0.4633333333333333,0.75,0.25,0.3488372093023256,0.12869593816806446
102,0.0,0.5,0.0,0.4651162790697675,0.11787534944910376
152,0.0,0.75,0.0,0.11627906976744187,0.2199309324124321
458,0.4633333333333333,0.75,0.25,0.11627906976744187,0.20690675875678344
515,0.4633333333333333,0.75,0.75,0.0,0.4696267061338595
64,0.0,0.0,0.75,0.930232558139535,0.005130735076467684
504,0.4633333333333333,1.0,1.0,0.5813953488372093,0.1453379378391712
140,0.0,0.75,0.0,0.029069767441860468,0.3618385134024009
110,0.0,0.5,0.25,0.5813953488372093,0.08942608123663871
69,0.0,0.5,0.5,0.0,0.7672751192238119
740,1.0,1.0,0.0,0.4651162790697675,0.21268212465055086
276,0.4633333333333333,0.0,0.25,0.0,0.699292879460615
771,1.0,1.0,0.08333333333333334,0.0,0.9999999999999999
161,0.0,0.75,0.8750000000000001,0.11627906976744187,0.14882420654497613
616,1.0,0.0,0.75,0.4651162790697675,0.0734089787863838
315,0.4633333333333333,0.0,0.75,0.11627906976744187,0.14030587074494327
191,0.0,0.75,0.5,0.4651162790697675,0.11073836540042757
52,0.0,0.0,0.75,0.6976744186046512,0.04262456832757769
444,0.4633333333333333,0.5,0.0,0.930232558139535,0.04298635092912349
105,0.0,0.5,0.5,0.4651162790697675,0.09205722742969906
173,0.0,0.75,1.0,0.23255813953488375,0.11389574083209998
33,0.0,0.0,0.5,0.3488372093023256,0.09942443677026806
610,1.0,0.0,0.25,0.4651162790697675,0.09327413254398946
262,0.0,1.0,0.25,0.4651162790697675,0.17316230883078437
462,0.4633333333333333,0.75,0.25,0.23255813953488375,0.1539878309488571
331,0.4633333333333333,0.0,1.0,0.23255813953488375,0.09432659102121362
261,0.0,1.0,0.08333333333333334,0.4651162790697675,0.18082552211807268
289,0.4633333333333333,0.0,0.75,0.029069767441860468,0.28284821575398783
175,0.0,0.75,0.08333333333333334,0.3488372093023256,0.1432330208847229
31,0.0,0.0,0.08333333333333334,0.3488372093023256,0.11540864989310969
495,0.4633333333333333,1.0,0.5,0.3488372093023256,0.18276599243545466
341,0.4633333333333333,0.0,0.75,0.3488372093023256,0.09169544482815327
167,0.0,0.75,0.33333333333333337,0.23255813953488375,0.15204736063147511
730,1.0,1.0,0.5,0.3488372093023256,0.15076467686235817
24,0.0,0.0,0.0,0.23255813953488375,0.15622430521295838
76,0.0,0.5,0.75,0.029069767441860468,0.3075415227758592
647,1.0,0.0,0.08333333333333334,0.813953488372093,0.037855615852655816
520,0.4633333333333333,1.0,0.5,0.0,0.6625883900674231
672,1.0,0.0,0.55,0.9069767441860466,0.0105245847722414
514,0.4633333333333333,0.75,0.5,0.0,0.6625883900674231
192,0.0,0.75,0.625,0.4651162790697675,0.09791152770925836
241,0.0,1.0,0.5,0.11627906976744187,0.22256207860549249
372,0.4633333333333333,0.0,0.08333333333333334,0.6976744186046512,0.0631803979608617
16,0.0,0.0,0.75,0.058139534883720936,0.190560763032396
422,0.4633333333333333,0.5,0.75,0.058139534883720936,0.20759743463246177
92,0.0,0.5,0.25,0.23255813953488375,0.13829962177273475
260,0.0,1.0,0.0,0.4651162790697675,0.1890478539713863
722,1.0,1.0,0.5,0.058139534883720936,0.29070876500575565
274,0.4633333333333333,0.0,0.0,0.0,0.5893438579181056
530,1.0,0.0,0.08333333333333334,0.0,0.9999999999999999
676,1.0,0.5,0.0,0.029069767441860468,0.36613714849531326
522,0.4633333333333333,1.0,1.0,0.0,0.41914158855451406
236,0.0,1.0,0.75,0.058139534883720936,0.293734583127775
242,0.0,1.0,0.625,0.11627906976744187,0.21460286137148493
320,0.4633333333333333,0.0,0.08333333333333334,0.23255813953488375,0.1809241901003124
68,0.0,0.5,0.25,0.0,0.8021049169544482
485,0.4633333333333333,1.0,0.0,0.11627906976744187,0.3001480019733596
680,1.0,0.5,0.0,0.058139534883720936,0.29193520802499584
223,0.0,1.0,0.75,0.0,0.6601545798388423
277,0.4633333333333333,0.0,0.5,0.0,0.6625883900674231
230,0.0,1.0,0.75,0.029069767441860468,0.40215753987830943
47,0.0,0.0,1.0,0.5813953488372093,0.05189935865811543
419,0.4633333333333333,0.5,0.0,0.058139534883720936,0.2857095872389409
502,0.4633333333333333,1.0,0.25,0.5813953488372093,0.1780299292879461
720,1.0,1.0,0.0,0.058139534883720936,0.36520309159677683
470,0.4633333333333333,0.75,0.25,0.4651162790697675,0.12146028613714847
723,1.0,1.0,1.0,0.058139534883720936,0.27850682453543824
474,0.4633333333333333,0.75,0.25,0.6976744186046512,0.09357013649070876
279,0.4633333333333333,0.0,1.0,0.0,0.41914158855451406
43,0.0,0.0,0.08333333333333334,0.5813953488372093,0.0804801841802335
519,0.4633333333333333,1.0,0.25,0.0,0.699292879460615
7,0.0,0.0,0.08333333333333334,0.029069767441860468,0.3310277914816642
65,0.0,0.0,1.0,0.930232558139535,0.0013813517513566811
131,0.0,0.5,1.0,0.930232558139535,0.02292386120703832
84,0.0,0.5,0.0,0.11627906976744187,0.21345173491202102
511,0.4633333333333333,0.75,0.0,0.0,0.5893438579181056
197,0.0,0.75,0.08333333333333334,0.5813953488372093,0.12527544811708602
72,0.0,0.5,0.0,0.029069767441860468,0.40740009866798227
424,0.4633333333333333,0.5,0.0,0.23255813953488375,0.15836211149481993
732,1.0,1.0,0.0,0.5813953488372093,0.18424601216905112
97,0.0,0.5,0.08333333333333334,0.3488372093023256,0.12774214767308006
100,0.0,0.5,0.75,0.3488372093023256,0.10481828646604179
569,1.0,0.0,0.08333333333333334,0.11627906976744187,0.21253083374444992
151,0.0,0.75,1.0,0.058139534883720936,0.22422756796579507
228,0.0,1.0,0.25,0.029069767441860468,0.5076467686235816
396,0.4633333333333333,0.0,1.0,0.813953488372093,0.016905114290412755
6,0.0,0.0,0.0,0.029069767441860468,0.365002466699556
344,0.4633333333333333,0.0,1.0,0.3488372093023256,0.07640190758098997
292,0.4633333333333333,0.0,1.0,0.029069767441860468,0.2686400263114619
193,0.0,0.75,0.75,0.4651162790697675,0.10126623910541029
385,0.4633333333333333,0.0,0.08333333333333334,0.813953488372093,0.03992764347969083
377,0.4633333333333333,0.0,0.5,0.6976744186046512,0.048018418023351425
415,0.4633333333333333,0.5,0.25,0.029069767441860468,0.35333333333333333
711,1.0,0.75,1.0,0.4651162790697675,0.09363591514553525
760,1.0,0.75,0.25,0.0,0.8869264923532313
176,0.0,0.75,0.16666666666666669,0.3488372093023256,0.13843117908238778
503,0.4633333333333333,1.0,0.5,0.5813953488372093,0.166518664693307
163,0.0,0.75,0.0,0.23255813953488375,0.17806281861535933
172,0.0,0.75,0.8750000000000001,0.23255813953488375,0.1248478868607137
660,1.0,0.0,0.08333333333333334,0.930232558139535,0.016378885051800685
283,0.4633333333333333,0.0,0.25,0.029069767441860468,0.3428712382831771
744,1.0,0.5,0.0,0.0,0.9514553527380365
348,0.4633333333333333,0.0,0.25,0.4651162790697675,0.09366880447294852
245,0.0,1.0,0.0,0.23255813953488375,0.22440388094063474
12,0.0,0.0,0.0,0.058139534883720936,0.2938990297648413
1,0.0,0.0,0.08333333333333334,0.0,0.8082881105081402
620,1.0,0.0,0.0,0.5813953488372093,0.08873540536096038
142,0.0,0.75,0.25,0.029069767441860468,0.34962999506660086
665,1.0,0.0,0.5,0.930232558139535,0.007630323959875021
306,0.4633333333333333,0.0,0.0,0.11627906976744187,0.23640848544647258
517,0.4633333333333333,1.0,0.0,0.0,0.5893438579181056
655,1.0,0.0,0.75,0.813953488372093,0.022726525242558776
109,0.0,0.5,0.08333333333333334,0.5813953488372093,0.09406347640190758
78,0.0,0.5,0.0,0.058139534883720936,0.2829468837362276
116,0.0,0.5,0.25,0.6976744186046512,0.06939648084196677
338,0.4633333333333333,0.0,0.5,0.3488372093023256,0.09537904949843774
693,1.0,0.5,0.25,0.813953488372093,0.056964315079756606
512,0.4633333333333333,0.75,0.08333333333333334,0.0,0.740404538727183
719,1.0,1.0,1.0,0.029069767441860468,0.30957737214273967
449,0.4633333333333333,0.75,0.0,0.029069767441860468,0.49559940799210656
494,0.4633333333333333,1.0,0.25,0.3488372093023256,0.18700871567176452
708,1.0,0.75,0.0,0.4651162790697675,0.1407992106561421
56,0.0,0.0,0.25,0.813953488372093,0.036244038809406354
190,0.0,0.75,0.4166666666666667,0.4651162790697675,0.10679164611083701
328,0.4633333333333333,0.0,0.75,0.23255813953488375,0.1133037329386614
107,0.0,0.5,1.0,0.4651162790697675,0.07166584443348133
121,0.0,0.5,0.08333333333333334,0.813953488372093,0.06130570629830619
332,0.4633333333333333,0.0,0.0,0.3488372093023256,0.1563558625226114
472,0.4633333333333333,0.75,1.0,0.4651162790697675,0.08278243709916132
231,0.0,1.0,1.0,0.029069767441860468,0.38098010195691495
211,0.0,0.75,0.33333333333333337,0.6976744186046512,0.09024831442197008
188,0.0,0.75,0.25,0.4651162790697675,0.11304061831935537
673,1.0,0.0,0.0275,0.15116279069767444,0.19654662062160827
584,1.0,0.0,0.25,0.23255813953488375,0.13135997368853808
489,0.4633333333333333,1.0,0.0,0.23255813953488375,0.232067094227923
728,1.0,1.0,0.0,0.3488372093023256,0.20753165597763523
461,0.4633333333333333,0.75,0.0,0.23255813953488375,0.17783259332346651
91,0.0,0.5,0.08333333333333334,0.23255813953488375,0.14865975990790986
195,0.0,0.75,1.0,0.4651162790697675,0.08478868607136984
94,0.0,0.5,0.75,0.23255813953488375,0.10712053938496956
157,0.0,0.75,0.4166666666666667,0.11627906976744187,0.1779312613057063
118,0.0,0.5,0.75,0.6976744186046512,0.050518006906758756
80,0.0,0.5,0.25,0.058139534883720936,0.2530175957901661
154,0.0,0.75,0.16666666666666669,0.11627906976744187,0.19158033218220688
88,0.0,0.5,0.75,0.11627906976744187,0.14836375596119056
613,1.0,0.0,0.5,0.4651162790697675,0.08251932247985529
527,0.4633333333333333,0.25,0.75,0.0,0.4696267061338595
