,CO,T,CS,FS,Prediced,error
258,60,900,0.3,59.05,59.06623459,0.016234589
72,30,0,0.025,136.52,136.5407867,0.020786743
11,0,1200,0.025,91.355,91.3296051,0.025394897
70,30,900,0,213.37,213.3369904,0.033009644
30,0,0,0.3,49.15,49.11415482,0.035845184
67,30,100,0,258.41,258.4607544,0.050754395
215,45,900,0.6,38.2,38.25628281,0.056282806
4,0,900,0,213.37,213.4263,0.056300049
5,0,1200,0,179.01,179.0677643,0.057764282
39,0,600,0.4,38.77,38.70889282,0.061107178
132,45,0,0,240.68,240.6141357,0.065864258
221,60,600,0,245.94,245.8707428,0.069257202
110,30,300,0.5,39.84,39.76068115,0.079318848
174,45,0,0.3,60.03,60.11386871,0.083868713
193,45,900,0.4,43.44,43.52753067,0.08753067
102,30,0,0.4,48.49,48.39571762,0.094282379
104,30,300,0.4,45.35,45.24968338,0.10031662
7,0,100,0.025,113.299,113.4006271,0.101627136
255,60,300,0.3,66.08,65.97587585,0.104124146
3,0,600,0,245.94,245.809494,0.130505981
31,0,100,0.3,47.74,47.87258911,0.132589111
74,30,300,0.025,117.817,117.6790009,0.137999146
205,45,1050,0.5,40.94,41.10163116,0.161631165
123,30,600,0.7,26.2,26.03758812,0.16241188
253,60,0,0.3,74.92,75.09501648,0.175016479
119,30,1200,0.6,27.9,27.72102737,0.178972626
257,60,750,0.3,60.5,60.68334198,0.18334198
19,0,100,0.1,64.02,64.20876312,0.188763123
199,45,300,0.5,47.45,47.25782776,0.192172241
92,30,300,0.2,54.7,54.89350128,0.193501282
182,45,900,0.3,45.99,45.79602051,0.193979492
162,45,1200,0.1,58.38,58.5774765,0.197476501
29,0,1200,0.2,42.74,42.52318573,0.21681427
1,0,100,0,258.41,258.1919556,0.218044434
109,30,100,0.5,41.25,41.01813126,0.231868744
242,60,750,0.1,77.9,77.65429688,0.245703125
178,45,400,0.3,51.89,52.14205933,0.252059326
191,45,600,0.4,46.32,46.57211304,0.252113037
241,60,600,0.1,80.32,80.06782532,0.252174683
251,60,1050,0.2,60.7,60.40488434,0.295115662
108,30,0,0.5,41.78,41.43688583,0.343114166
64,0,900,0.8,14.21,13.86675549,0.343244514
209,45,200,0.6,43.81,43.46295166,0.34704834
129,30,600,0.8,21.59,21.24194527,0.348054733
49,0,100,0.6,30.45,30.80443764,0.354437637
52,0,900,0.6,25.61,25.24552536,0.36447464
116,30,300,0.6,33.75,33.37955856,0.370441437
94,30,900,0.2,45.22,45.59044647,0.370446472
53,0,1200,0.6,22.76,23.16093826,0.400938263
47,0,1200,0.5,28.43,28.85031128,0.420311279
254,60,100,0.3,68.18,68.60160828,0.421608276
134,45,300,0,256.53,256.1031799,0.426820068
101,30,1200,0.3,39.68,39.25148392,0.428516083
71,30,1200,0,179.01,179.4605103,0.450510254
198,45,200,0.5,47.66,48.12375259,0.463752594
260,60,0,0.4,70.13,69.65818024,0.471819763
124,30,900,0.7,24.68,24.20776176,0.472238235
48,0,0,0.6,31.9,31.42613602,0.473863983
271,60,750,0.5,55.89,55.39855194,0.491448059
235,60,600,0.05,107.22,107.7272186,0.507218628
218,60,0,0,240.68,241.1949768,0.514976807
180,45,600,0.3,50.61,50.07725143,0.532748566
28,0,900,0.2,45.1,45.66288376,0.562883759
58,0,900,0.7,20.12,19.55614471,0.563855286
157,45,500,0.1,66.75,67.33056641,0.580566406
