,CO,T,CS,FS,Prediced,TRUE,Error
82,30,600,0.2,49.82,49.78879166,49.82,0.031208344
6,0,0,0.025,163.84,163.797821,163.84,0.042178955
101,30,300,0.8,22.76,22.8257122,22.76,0.065712204
129,45,0,0.6,46.09,46.02066803,46.09,0.06933197
55,0,100,0.7,24.79,24.86110497,24.79,0.071104965
95,30,0,0.5,42.62,42.69351959,42.62,0.073519592
47,0,1200,0.5,27.69,27.60479164,27.69,0.085208359
132,45,1200,0.6,35.64,35.53843689,35.64,0.10156311
108,45,1200,0.025,104.187,104.2890244,104.187,0.102024353
161,30,0,0,191.84,191.7206421,191.84,0.11935791
61,0,100,0.8,17.67,17.5317173,17.67,0.1382827
143,60,600,0.1,86.31,86.46761322,86.31,0.15761322
167,45,0,0,191.84,191.6753235,191.84,0.164676514
51,0,600,0.6,27.25,27.07548332,27.25,0.174516678
19,0,100,0.1,67.78,67.59699249,67.78,0.183007507
66,0,70,0.86,13.81,13.59101295,13.81,0.218987045
135,60,600,0.025,129.45,129.2049866,129.45,0.245013428
41,0,1200,0.4,32.27,32.54071426,32.27,0.270714264
117,45,0,0.2,66.72,66.44042206,66.72,0.279577942
170,45,600,0,214.11,213.823349,214.11,0.286651001
56,0,300,0.7,23.09,22.80110359,23.09,0.288896408
13,0,100,0.05,89.32,89.01636505,89.32,0.303634949
2,0,300,0,225.27,224.9421234,225.27,0.327876587
114,45,300,0.1,75.56,75.88897705,75.56,0.328977051
49,0,100,0.6,31.86,32.19051361,31.86,0.330513611
122,45,300,0.3,51.78,52.11429214,51.78,0.334292145
150,60,300,0.3,69.51,69.17378998,69.51,0.336210022
12,0,0,0.05,106.1,106.4539642,106.1,0.353964233
76,30,300,0.05,87.71,88.08397675,87.71,0.373976746
34,0,900,0.3,40.53,40.14906311,40.53,0.38093689
7,0,100,0.025,122.99,123.3764877,122.99,0.386487732
50,0,300,0.6,29.73,30.13051224,29.73,0.400512238
62,0,300,0.8,15.59,16.00261307,15.59,0.412613068
165,30,900,0,155.44,155.0202484,155.44,0.419751587
23,0,1200,0.1,50.61,50.13893509,50.61,0.471064911
22,0,900,0.1,55.31,54.83228302,55.31,0.47771698
96,30,300,0.5,39.49,38.98390579,39.49,0.506094208
184,15,1200,0,140.09,139.5802765,140.09,0.509723511
179,15,0,0,191.84,191.3301849,191.84,0.509815063
177,60,900,0,155.44,155.958847,155.44,0.518847046
87,30,600,0.3,44.92,44.37173843,44.92,0.548261566
131,45,600,0.6,40.21,39.64546967,40.21,0.564530334
181,15,300,0,225.27,225.8490448,225.27,0.5790448
0,0,0,0,191.84,192.4268494,191.84,0.586849365
156,60,1200,0.4,58.18,57.57842636,58.18,0.601573639
37,0,100,0.4,44.37,44.989151,44.37,0.619151001
57,0,600,0.7,21.19,20.56373978,21.19,0.626260223
42,0,0,0.5,41.2,40.54992294,41.2,0.650077057
45,0,600,0.5,32.58,33.24741745,32.58,0.66741745
130,45,300,0.6,41.1,41.77763367,41.1,0.677633667
166,30,1200,0,140.09,139.4059296,140.09,0.684070435
145,60,0,0.2,83.21,83.92588806,83.21,0.715888062
149,60,0,0.3,76.01,75.29356384,76.01,0.716436157
53,0,1200,0.6,23.4,22.66888809,23.4,0.731111908
126,45,300,0.4,49.58,48.83617401,49.58,0.743825989
58,0,900,0.7,19.36,18.61312294,19.36,0.74687706
164,30,600,0,214.11,213.3379517,214.11,0.77204834
99,30,1200,0.5,29.65,30.45207214,29.65,0.802072144
67,0,220,0.72,22.99,22.15923691,22.99,0.830763092
80,30,0,0.2,60.8,59.96019745,60.8,0.839802551
115,45,600,0.1,70.31,69.41533661,70.31,0.894663391
138,60,300,0.05,109.83,110.7452393,109.83,0.915239258
73,30,900,0.025,102.686,103.6131592,102.686,0.92715918
92,30,600,0.4,40.17,39.21588516,40.17,0.954114838
28,0,900,0.2,47.1,48.0630188,47.1,0.963018799
48,0,0,0.6,34.2,33.22050858,34.2,0.979491425
88,30,900,0.3,42.07,41.04042435,42.07,1.029575653
14,0,300,0.05,85.95,84.90459442,85.95,1.045405579
124,45,1200,0.3,43.25,42.18444443,43.25,1.065555573
81,30,300,0.2,51.2,52.26893997,51.2,1.068939972
70,30,0,0.025,152.28,153.3498993,152.28,1.069899292
59,0,1200,0.7,17.79,16.66256714,17.79,1.127432861
15,0,600,0.05,80.83,81.96100616,80.83,1.131006165
17,0,1200,0.05,67.63,66.49549103,67.63,1.134508972
139,60,600,0.05,108.767,107.596756,108.767,1.170244019
162,30,100,0,237.77,236.57547,237.77,1.194530029
40,0,900,0.4,36.28,35.08192825,36.28,1.198071747
93,30,900,0.4,38.11,36.90278244,38.11,1.20721756
183,15,900,0,155.44,156.650528,155.44,1.210527954
63,0,600,0.8,15.31,14.0519886,15.31,1.258011398
112,45,1200,0.05,84.25,82.99047089,84.25,1.259529114
94,30,1200,0.4,35.87,34.58973694,35.87,1.280263062
102,30,600,0.8,21.59,20.2845211,21.59,1.305478897
38,0,300,0.4,41.13,42.43808746,41.13,1.308087463
111,45,600,0.05,94.46,93.13152313,94.46,1.328476868
123,45,600,0.3,48.32,49.65916061,48.32,1.339160614
128,45,1200,0.4,37.82,39.16607285,37.82,1.346072845
83,30,900,0.2,46.43,45.06268311,46.43,1.367316895
144,60,1200,0.1,76.63,78.00108337,76.63,1.371083374
134,60,300,0.025,138.219,139.6071625,138.219,1.388162476
16,0,900,0.05,74.38,75.78868866,74.38,1.40868866
152,60,1200,0.3,61.61,60.20098495,61.61,1.409015045
120,45,1200,0.2,48.4,49.84618378,48.4,1.446183777
78,30,900,0.05,75.77,77.27365875,75.77,1.503658752
171,45,900,0,155.44,153.9087219,155.44,1.531278076
26,0,300,0.2,54.14,55.69041824,54.14,1.550418243
91,30,300,0.4,44.08,42.52256393,44.08,1.557436066
32,0,300,0.3,46.22,47.80218887,46.22,1.582188873
90,30,0,0.4,47.9,46.31748581,47.9,1.582514191
35,0,1200,0.3,35.88,37.47662735,35.88,1.59662735
109,45,0,0.05,109.26,110.861084,109.26,1.601083984
137,60,0,0.05,122.42,120.7802429,122.42,1.63975708
133,60,0,0.025,156.183,157.8450623,156.183,1.662062256
140,60,1200,0.05,94.87,96.58196259,94.87,1.711962585
72,30,600,0.025,109.567,111.2840652,109.567,1.717065247
118,45,300,0.2,59.47,57.6945076,59.47,1.775492401
36,0,0,0.4,48.06,46.26465607,48.06,1.795343933
11,0,1200,0.025,94.33,92.50924683,94.33,1.820753174
178,60,1200,0,140.09,141.9310455,140.09,1.841045532
142,60,300,0.1,94.82,92.97019196,94.82,1.849808044
182,15,600,0,214.11,212.2389832,214.11,1.871016846
154,60,300,0.4,64.25,66.15836334,64.25,1.908363342
89,30,1200,0.3,40.64,38.72736359,40.64,1.912636414
148,60,1200,0.2,67.1,65.18437958,67.1,1.915620422
10,0,900,0.025,98.65,100.6100769,98.65,1.960076904
121,45,0,0.3,54.3,56.27235031,54.3,1.972350311
60,0,0,0.8,20.55,18.56173897,20.55,1.988261032
163,30,300,0,225.27,227.3876953,225.27,2.117695312
151,60,600,0.3,68.22,66.03079987,68.22,2.189200134
168,45,100,0,237.77,235.5782013,237.77,2.191798706
33,0,600,0.3,41.65,43.9756279,41.65,2.325627899
175,60,300,0,225.27,227.6635284,225.27,2.393528442
77,30,600,0.05,85.41,83.01313019,85.41,2.396869812
160,60,1200,0.5,56.84,54.34880447,56.84,2.491195526
65,0,1200,0.8,12.65,10.15081501,12.65,2.49918499
110,45,300,0.05,103.06,100.5044174,103.06,2.555582581
169,45,300,0,225.27,227.8455505,225.27,2.575550537
141,60,0,0.1,103.91,101.2913132,103.91,2.618686829
8,0,300,0.025,116.9,114.1116638,116.9,2.788336182
113,45,0,0.1,85.43,88.28998566,85.43,2.859985657
46,0,900,0.5,33.08,30.145998,33.08,2.934001999
107,45,600,0.025,125.41,122.4340515,125.41,2.975948486
31,0,100,0.3,47.2,50.3532486,47.2,3.153248596
158,60,300,0.5,66.78,63.59357452,66.78,3.186425476
85,30,0,0.3,54.84,51.64309311,54.84,3.196906891
24,0,0,0.2,65.46,62.24087906,65.46,3.219120941
174,60,100,0,237.77,234.5141144,237.77,3.25588562
27,0,600,0.2,55.62,52.12108231,55.62,3.498917694
43,0,100,0.5,43.03,39.51992416,43.03,3.510075836
155,60,600,0.4,60.04,63.65717697,60.04,3.617176971
176,60,600,0,214.11,210.3353577,214.11,3.774642334
104,30,1200,0.8,19.17,15.20211697,19.17,3.967883034
105,45,0,0.025,163.337,158.7851868,163.337,4.551813232
116,45,1200,0.1,59.61,64.72724915,59.61,5.117249146
180,15,100,0,237.77,231.8931274,237.77,5.876872559
68,0,510,0.33,50.87,43.51436234,50.87,7.355637665
157,60,0,0.5,83.17,65.9774704,83.17,17.1925296
153,60,0,0.4,96.98,68.31648254,96.98,28.66351746
