,CO,T,CS,FS
113,60,600,0.5,70.71
110,60,1200,0.3,52.9
104,60,300,0.05,126.01
20,0,0,0.2,68.7
75,30,0,0.7,31.03
26,0,0,0.3,50.82
39,0,600,0.5,32.43
46,0,1200,0.6,25.88
125,30,300,0.0,282.32
61,30,0,0.025,123.974
10,0,0,0.05,127.206
65,30,600,0.05,84.58
93,45,600,0.4,48.34
96,45,300,0.6,42.91
73,30,600,0.4,36.6
66,30,1200,0.05,72.88
53,0,100,0.8,17.63
79,45,0,0.025,132.841
82,45,1200,0.025,99.008
105,60,600,0.05,101.04
32,0,100,0.4,43.46
13,0,600,0.05,78.006
18,0,600,0.1,58.81
135,60,300,0.0,282.32
94,45,1200,0.4,41.12
54,0,300,0.8,16.07
29,0,600,0.3,42.02
33,0,300,0.4,41.01
56,0,900,0.8,14.05
60,0,360,0.58,29.68
21,0,100,0.2,56.14
109,60,600,0.3,58.49
127,30,900,0.0,194.43
134,60,100,0.0,316.7
30,0,900,0.3,38.47
117,60,600,0.1,82.13
88,45,300,0.2,57.8025
8,0,600,0.025,108.962
76,30,300,0.7,29.97
55,0,600,0.8,14.97
2,0,300,0.0,282.32
123,30,0,0.0,301.94
49,0,300,0.7,22.54
59,0,120,0.47,46.34
99,60,0,0.025,149.441
37,0,100,0.5,36.86
28,0,300,0.3,45.12
112,60,300,0.5,60.55
74,30,1200,0.4,32.7
83,45,0,0.05,107.2
107,60,0,0.3,75.75
63,30,0,0.05,101.4129
120,60,300,0.4,72.83
40,0,900,0.5,30.68
128,45,0,0.0,301.94
36,0,0,0.5,39.63
92,45,300,0.4,53.13
103,60,0,0.05,123.69
41,0,0,0.6,32.73
70,30,1200,0.2,44.45
23,0,600,0.2,49.28
84,45,300,0.05,95.6828585
4,0,900,0.0,194.43
67,30,0,0.2,62.18
35,0,900,0.4,34.97
101,60,600,0.025,121.553
129,45,100,0.0,316.7
57,0,660,0.78,15.85
102,60,1200,0.025,106.777
64,30,300,0.05,87.23
85,45,600,0.05,89.856336
126,30,600,0.0,235.45
118,60,1200,0.1,66.72
68,30,300,0.2,54.06
15,0,0,0.1,82.7
69,30,600,0.2,52.07
25,0,1200,0.2,35.7
78,30,1200,0.7,23.0
121,60,600,0.4,71.51
86,45,1200,0.05,74.56
19,0,900,0.1,55.42
87,45,0,0.2,68.3
44,0,600,0.6,26.94
31,0,0,0.4,45.73
51,0,900,0.7,19.56
48,0,100,0.7,24.16
116,60,300,0.1,85.07
81,45,600,0.025,115.718
72,30,300,0.4,39.0
98,45,1200,0.6,35.14
34,0,600,0.4,37.74
124,30,100,0.0,316.7
90,45,1200,0.2,52.53
133,60,0,0.0,301.94
58,0,33,0.13,72.41
77,30,600,0.7,28.05
115,60,0,0.1,101.6
7,0,300,0.025,114.465
24,0,900,0.2,45.46
131,45,600,0.0,235.45
12,0,300,0.05,89.974
17,0,300,0.1,61.87
1,0,100,0.0,316.7
100,60,300,0.025,155.173
108,60,300,0.3,65.94
16,0,100,0.1,77.27
52,0,0,0.8,19.99
71,30,0,0.4,41.8
122,60,1200,0.4,51.64
119,60,0,0.4,77.316
